Model,Dataset,Hist_Len,Pred_Len,Train_Time(min),MSE,MAE,RMSE,MAPE,MSPE
CAST,PEMS03,96,12,10.23,0.0725,0.1785,0.2521,1.4203,7864.5919
CAST,PEMS03,96,24,11.13,0.1051,0.2165,0.3054,1.7004,9725.2486
CAST,PEMS03,96,48,10.08,0.1751,0.2845,0.3989,2.0242,12247.973
CAST,PEMS03,96,96,11.94,0.2824,0.3741,0.521,2.2203,11926.4201
CAST,PEMS,96,48,10.37,0.1993,0.3023,0.4318,2.1525,17727.4742
CAST,PEMS,96,96,11.78,0.3145,0.3944,0.5522,2.6655,35222.0876
